Column1,name,serving_size,calories,calcium,protein,carbohydrate,fiber,sugars,fat
56,"Egg custards, dry mix",100 g,410,228.00 mg,6.90 g,82.80 g,0.0 g,0,6.40 g
57,"Peanut flour, low fat",100 g,428,130.00 mg,33.80 g,31.27 g,15.8 g,0,21.90 g
58,"Fish, smoked, haddock",100 g,116,49.00 mg,25.23 g,0.00 g,0.0 g,0.00 g,0.96 g
59,"DENNY'S, french fries",100 g,282,14.00 mg,3.41 g,35.20 g,3.5 g,0.85 g,14.13 g
60,"Ground turkey, cooked",100 g,203,28.00 mg,27.37 g,0.00 g,0.0 g,0.00 g,10.40 g
61,"MURRAY, Vanilla Wafer",100 g,461,0,4.00 g,72.90 g,1.4 g,31.50 g,17.40 g
62,"WENDY'S, french fries",100 g,301,16.00 mg,3.73 g,39.73 g,4.0 g,0.40 g,14.10 g
63,"Bread, toasted, wheat",100 g,313,165.00 mg,12.96 g,55.77 g,4.7 g,6.42 g,4.27 g
64,"Danish pastry, cheese",100 g,374,35.00 mg,8.00 g,37.20 g,1.0 g,6.95 g,21.90 g
65,"Nuts, glazed, walnuts",100 g,500,71.00 mg,8.28 g,47.59 g,3.6 g,32.14 g,35.71 g
66,"Spices, garlic powder",100 g,331,79.00 mg,16.55 g,72.73 g,9.0 g,2.43 g,0.73 g
67,"Oil, soybean lecithin",100 g,763,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,100.00 g
68,"Egg, fresh, raw, yolk",100 g,322,129.00 mg,15.86 g,3.59 g,0.0 g,0.56 g,26.54 g
69,"Fireweed, raw, leaves",100 g,103,429.00 mg,4.71 g,19.22 g,10.6 g,0,2.75 g
70,"Beef, pastrami, cured",100 g,147,10.00 mg,21.80 g,0.36 g,0.0 g,0.10 g,5.82 g
71,"Frankfurter, meatless",100 g,233,33.00 mg,19.61 g,7.70 g,3.9 g,0.00 g,13.73 g
72,"Emu, raw, flat fillet",100 g,102,3.00 mg,22.25 g,0.00 g,0.0 g,0.00 g,0.74 g
73,"Emu, raw, inside drum",100 g,108,4.00 mg,22.22 g,0.00 g,0.0 g,0.00 g,1.49 g
74,"Ice creams, chocolate",100 g,216,109.00 mg,3.80 g,28.20 g,1.2 g,25.36 g,11.00 g
75,"Snacks, potato sticks",100 g,522,18.00 mg,6.70 g,53.30 g,3.4 g,0.22 g,34.40 g
76,"USDA Commodity, salsa",100 g,36,12.00 mg,1.50 g,7.00 g,1.4 g,0,0.20 g
77,"Figs, uncooked, dried",100 g,249,162.00 mg,3.30 g,63.87 g,9.8 g,47.92 g,0.93 g
78,"Game meat, raw, horse",100 g,133,6.00 mg,21.39 g,0.00 g,0.0 g,0,4.60 g
79,"Syrup, fruit flavored",100 g,261,0.00 mg,0.00 g,65.10 g,0.0 g,65.00 g,0.02 g
80,"Broccoli, raw, stalks",100 g,28,48.00 mg,2.98 g,5.24 g,0,0,0.35 g
81,"Cream, cultured, sour",100 g,198,101.00 mg,2.44 g,4.63 g,0.0 g,3.41 g,19.35 g
82,"Gravy, canned, au jus",100 g,16,4.00 mg,1.20 g,2.50 g,0.0 g,0,0.20 g
83,"McDONALD'S, Hamburger",100 g,264,127.00 mg,12.92 g,30.28 g,1.3 g,6.03 g,10.09 g
84,"Cheese, port de salut",100 g,352,650.00 mg,23.78 g,0.57 g,0.0 g,0.57 g,28.20 g
85,SILK Original Creamer,100 g,100,0.00 mg,0.00 g,6.67 g,0.0 g,0.00 g,6.67 g
86,SILK Hazelnut Creamer,100 g,133,0.00 mg,0.00 g,20.00 g,0.0 g,20.00 g,6.67 g
87,"Soup, mix, dry, onion",100 g,293,143.00 mg,7.48 g,65.07 g,6.6 g,4.65 g,0.34 g
88,"Mushrooms, raw, enoki",100 g,37,0.00 mg,2.66 g,7.81 g,2.7 g,0.22 g,0.29 g
89,Bacon and beef sticks,100 g,517,14.00 mg,29.10 g,0.80 g,0.0 g,0.80 g,44.20 g
90,"Salami, pork, Italian",100 g,425,10.00 mg,21.70 g,1.20 g,0.0 g,1.20 g,37.00 g
91,"Crackers, whole-wheat",100 g,427,36.00 mg,10.58 g,69.55 g,10.3 g,1.19 g,14.13 g
92,"Peanuts, raw, spanish",100 g,570,106.00 mg,26.15 g,15.83 g,9.5 g,0,49.60 g
93,"Hominy, white, canned",100 g,72,10.00 mg,1.48 g,14.26 g,2.5 g,1.82 g,0.88 g
94,"Game meat, raw, moose",100 g,102,5.00 mg,22.24 g,0.00 g,0.0 g,0,0.74 g
95,"Pears, red anjou, raw",100 g,62,11.00 mg,0.33 g,14.94 g,3.0 g,9.54 g,0.14 g
96,"Horseradish, prepared",100 g,48,56.00 mg,1.18 g,11.29 g,3.3 g,7.99 g,0.69 g
97,"Fish, raw, butterfish",100 g,146,22.00 mg,17.28 g,0.00 g,0.0 g,0,8.02 g
98,"Lebanon bologna, beef",100 g,172,20.00 mg,19.03 g,0.44 g,0.0 g,0.00 g,10.44 g
99,Ham and cheese spread,100 g,245,217.00 mg,16.18 g,2.28 g,0.0 g,0,18.53 g
100,"TACO BELL, Taco Salad",100 g,170,95.00 mg,6.69 g,15.10 g,3.0 g,0,9.17 g
101,"Sauce, worcestershire",100 g,78,107.00 mg,0.00 g,19.46 g,0.0 g,10.03 g,0.00 g
102,"Candies, marshmallows",100 g,318,3.00 mg,1.80 g,81.30 g,0.1 g,57.56 g,0.20 g
103,"Hummus, home prepared",100 g,177,49.00 mg,4.86 g,20.12 g,4.0 g,0.27 g,8.59 g
104,Horned melon (Kiwano),100 g,44,13.00 mg,1.78 g,7.56 g,0,0,1.26 g
105,Ice cream sundae cone,100 g,254,60.00 mg,3.00 g,28.89 g,1.0 g,21.26 g,14.00 g
106,"Peppers, raw, serrano",100 g,32,11.00 mg,1.74 g,6.70 g,3.7 g,3.83 g,0.44 g
107,"Cabbage, cooked, napa",100 g,12,29.00 mg,1.10 g,2.23 g,0,0,0.17 g
108,"Peppers, dried, ancho",100 g,281,61.00 mg,11.86 g,51.42 g,21.6 g,0,8.20 g
109,"Parsley, freeze-dried",100 g,271,176.00 mg,31.30 g,42.38 g,32.7 g,0,5.20 g
110,"Spices, black, pepper",100 g,251,443.00 mg,10.39 g,63.95 g,25.3 g,0.64 g,3.26 g
111,"Spices, white, pepper",100 g,296,265.00 mg,10.40 g,68.61 g,26.2 g,0,2.12 g
112,"Yambean (jicama), raw",100 g,38,12.00 mg,0.72 g,8.82 g,4.9 g,1.80 g,0.09 g
113,"Nuts, dried, pilinuts",100 g,719,145.00 mg,10.80 g,3.98 g,0,0,79.55 g
114,"Kiwifruit, raw, green",100 g,61,34.00 mg,1.14 g,14.66 g,3.0 g,8.99 g,0.52 g
115,"Drumstick leaves, raw",100 g,64,185.00 mg,9.40 g,8.28 g,2.0 g,0,1.40 g
116,"Yautia (tannier), raw",100 g,98,9.00 mg,1.46 g,23.63 g,1.5 g,0,0.40 g
117,"Candies, butterscotch",100 g,391,4.00 mg,0.03 g,90.40 g,0.0 g,80.46 g,3.30 g
118,"Cucumber, raw, peeled",100 g,12,14.00 mg,0.59 g,2.16 g,0.7 g,1.38 g,0.16 g
119,"Dandelion greens, raw",100 g,45,187.00 mg,2.70 g,9.20 g,3.5 g,0.71 g,0.70 g
120,"Melons, raw, honeydew",100 g,36,6.00 mg,0.54 g,9.09 g,0.8 g,8.12 g,0.14 g
121,Potato salad with egg,100 g,157,15.00 mg,1.96 g,16.18 g,1.3 g,4.95 g,9.40 g
122,"Mushrooms, raw, white",100 g,22,3.00 mg,3.09 g,3.26 g,1.0 g,1.98 g,0.34 g
123,"Mushrooms, raw, morel",100 g,31,43.00 mg,3.12 g,5.10 g,2.8 g,0.60 g,0.57 g
