Column1,name,serving_size,calories,calcium,protein,carbohydrate,fiber,sugars,fat
2859,"Lamb, raw, sweetbread, imported, New Zealand",100 g,72,2.00 mg,11.00 g,0.00 g,0.0 g,0.00 g,3.16 g
2860,"Salad dressing, vinegar and oil, home recipe",100 g,449,0.00 mg,0.00 g,2.50 g,0.0 g,2.50 g,50.10 g
2861,"Egg, pasteurized, salted, frozen, raw, whole",100 g,138,55.00 mg,10.97 g,0.83 g,0.0 g,0.07 g,10.07 g
2862,"Pastry, Pastelitos de Guava (guava pastries)",100 g,379,14.00 mg,5.48 g,47.76 g,2.2 g,17.00 g,18.50 g
2863,"Fish, dry heat, cooked, bluefin, fresh, tuna",100 g,184,10.00 mg,29.91 g,0.00 g,0.0 g,0,6.28 g
2864,"ARCHWAY Home Style Cookies, Raspberry Filled",100 g,400,20.00 mg,4.35 g,65.92 g,2.2 g,31.76 g,13.26 g
2865,"Cheese spread, American, pasteurized process",100 g,290,562.00 mg,16.41 g,8.73 g,0.0 g,7.32 g,21.23 g
2866,"Candies, M&M MARS 3 MUSKETEERS Truffle Crisp",100 g,538,150.00 mg,6.41 g,63.15 g,0.0 g,57.69 g,28.85 g
2867,"Yogurt, DANNON OIKOS, vanilla, nonfat, Greek",100 g,85,89.00 mg,8.12 g,12.72 g,0.5 g,11.40 g,0.14 g
2868,"Vegetable oil-butter spread, reduced calorie",100 g,465,6.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,53.00 g
2869,"PAPA JOHN'S 14"" Cheese Pizza, Original Crust",100 g,260,166.00 mg,11.53 g,32.74 g,1.9 g,5.32 g,9.25 g
2870,"Peanuts, without salt, oil-roasted, valencia",100 g,589,54.00 mg,27.04 g,16.30 g,8.9 g,0,51.24 g
2871,"Peanuts, without salt, oil-roasted, virginia",100 g,578,86.00 mg,25.87 g,19.86 g,8.9 g,0,48.62 g
2872,"Babyfood, dry, with bananas, oatmeal, cereal",100 g,393,651.00 mg,12.00 g,73.40 g,5.2 g,13.75 g,6.00 g
2873,"Cheese, low moisture, whole milk, mozzarella",100 g,318,575.00 mg,21.60 g,2.47 g,0.0 g,1.01 g,24.64 g
2874,"CAMPBELL'S, condensed, Cream of Chicken Soup",100 g,103,13.00 mg,1.76 g,6.03 g,4.1 g,0.33 g,7.98 g
2875,"MOTHER'S, 4th of July Circus Animal Cookies",100 g,487,0,3.80 g,68.30 g,0.8 g,44.20 g,25.40 g
2876,"Game meat, pan-broiled, cooked, ground, elk",100 g,193,10.00 mg,26.64 g,0.00 g,0.0 g,0.00 g,8.74 g
2877,"Chicken, raw, skin only, broilers or fryers",100 g,349,11.00 mg,13.33 g,0.00 g,0.0 g,0.00 g,32.35 g
2878,"Chicken, raw, meat only, broilers or fryers",100 g,119,12.00 mg,21.39 g,0.00 g,0.0 g,0.00 g,3.08 g
2879,"Beverages, no sugar added, chocolate powder",100 g,373,909.00 mg,9.09 g,63.64 g,9.1 g,27.27 g,9.09 g
2880,"WORTHINGTON Super Links, unprepared, canned",100 g,219,3.00 mg,14.50 g,5.50 g,1.8 g,0.60 g,15.50 g
2881,"Babyfood, Banana with orange medley, GERBER",100 g,86,0.00 mg,1.06 g,20.41 g,2.1 g,14.27 g,0.00 g
2882,"Turkey, raw, meat only, thigh, retail parts",100 g,116,4.00 mg,20.60 g,0.00 g,0.0 g,0.00 g,3.69 g
2883,"Pie, commercially prepared, coconut custard",100 g,260,81.00 mg,5.90 g,30.20 g,1.8 g,0,13.20 g
2884,"WORTHINGTON Wham (roll), unprepared, frozen",100 g,196,45.00 mg,17.80 g,5.70 g,0.0 g,3.20 g,11.30 g
2885,"Cherries, drained, water pack, canned, sour",100 g,42,11.00 mg,0.69 g,10.45 g,1.2 g,6.99 g,0.21 g
2886,"Ice creams, 98% Fat Free Chocolate, BREYERS",100 g,136,126.00 mg,3.89 g,30.18 g,5.8 g,20.29 g,2.17 g
2887,"Salad dressing, KRAFT Mayo Light Mayonnaise",100 g,334,6.00 mg,0.60 g,8.50 g,0.1 g,4.20 g,32.90 g
2888,"Prunes, uncooked, dehydrated (low-moisture)",100 g,339,72.00 mg,3.70 g,89.07 g,0,0,0.73 g
2889,"Fish, liver (Alaska Native), northern, pike",100 g,156,28.00 mg,16.60 g,4.30 g,0,0,8.00 g
2890,"Alcoholic beverage, canned, tequila sunrise",100 g,110,0.00 mg,0.30 g,11.30 g,0.0 g,0,0.10 g
2891,"Babyfood, mix vegetables junior, vegetables",100 g,36,11.00 mg,1.40 g,8.20 g,1.5 g,1.78 g,0.40 g
2892,"Sesbania flower, with salt, steamed, cooked",100 g,21,22.00 mg,1.14 g,5.10 g,0,0,0.05 g
2893,"Fish, sweet recipe, commercial, gefiltefish",100 g,84,23.00 mg,9.07 g,7.41 g,0.0 g,0,1.73 g
2894,"Roast beef, sliced, prepackaged, deli style",100 g,115,5.00 mg,18.62 g,0.64 g,0.0 g,0.29 g,3.69 g
2895,"DENNY'S, from kid's menu, macaroni & cheese",100 g,150,83.00 mg,5.19 g,21.16 g,1.2 g,4.20 g,4.92 g
2896,"Beverages, powder, regular, instant, coffee",100 g,353,141.00 mg,12.20 g,75.40 g,0.0 g,0.00 g,0.50 g
2897,"Plantains, Latino restaurant, fried, yellow",100 g,236,6.00 mg,1.42 g,40.77 g,3.2 g,21.76 g,7.51 g
2898,"Soup, prepared with water, mix, dry, tomato",100 g,38,29.00 mg,0.93 g,7.17 g,0.4 g,3.90 g,0.61 g
2899,"Candies, HERSHEY'S GOLDEN ALMOND SOLITAIRES",100 g,569,203.00 mg,11.97 g,46.85 g,4.4 g,37.13 g,37.13 g
2900,"Soup, condensed, canned, cream of asparagus",100 g,69,23.00 mg,1.82 g,8.52 g,0.4 g,0.72 g,3.26 g
2901,"Pork sausage, pan-fried, cooked, link/patty",100 g,325,9.00 mg,18.53 g,1.42 g,0.0 g,1.09 g,27.25 g
2902,"CAMPBELL'S, condensed, Cream of Potato Soup",100 g,71,17.00 mg,1.51 g,13.25 g,1.3 g,1.44 g,1.35 g
2903,"Dock, without salt, drained, boiled, cooked",100 g,20,38.00 mg,1.83 g,2.93 g,2.6 g,0,0.64 g
2904,"Beef, canned, with potato, corned beef hash",100 g,164,19.00 mg,8.73 g,9.27 g,1.1 g,0.34 g,10.24 g
2905,"Chicken, raw, meat only, dark meat, stewing",100 g,157,10.00 mg,19.70 g,0.00 g,0.0 g,0.00 g,8.12 g
2906,"Fish, raw, mixed species, Pacific, rockfish",100 g,90,14.00 mg,18.36 g,0.00 g,0.0 g,0.00 g,1.34 g
2907,"Nuts, with salt added, dry roasted, walnuts",100 g,643,71.00 mg,14.29 g,17.86 g,7.1 g,3.57 g,60.71 g
2908,"KEEBLER, Double Stuffed Cookies, E.L. FUDGE",100 g,512,0,4.60 g,67.60 g,4.1 g,38.50 g,24.80 g
2909,"Babyfood, strained, turkey and rice, dinner",100 g,52,18.00 mg,2.27 g,7.94 g,0.9 g,1.66 g,1.24 g
2910,"OLIVE GARDEN, spaghetti with pomodoro sauce",100 g,102,11.00 mg,4.26 g,17.14 g,1.7 g,1.77 g,1.85 g
2911,"Beverage, not chocolate, dry, milkshake mix",100 g,329,880.00 mg,23.50 g,52.90 g,1.6 g,51.30 g,2.60 g
2912,"Kale, without salt, drained, boiled, cooked",100 g,28,72.00 mg,1.90 g,5.63 g,2.0 g,1.25 g,0.40 g
2913,"Cranberry sauce, OCEAN SPRAY, canned, whole",100 g,158,3.00 mg,0.75 g,40.40 g,1.2 g,31.30 g,0.05 g
2914,"Puddings, fat free, ready-to-eat, chocolate",100 g,93,39.00 mg,1.93 g,20.87 g,0.3 g,15.75 g,0.30 g
2915,"Desserts, prepared-from-recipe, apple crisp",100 g,161,35.00 mg,1.75 g,30.84 g,1.4 g,19.68 g,3.43 g
2916,"KELLOGG, Buttermilk Pancake, KELLOGG'S EGGO",100 g,245,78.00 mg,5.30 g,38.60 g,1.0 g,10.00 g,8.00 g
2917,"SPAGHETTIOS, SpaghettiOs with Sliced Franks",100 g,87,60.00 mg,3.57 g,12.70 g,1.6 g,3.57 g,2.38 g
2918,"Nuts, with salt added, oil roasted, almonds",100 g,607,291.00 mg,21.23 g,17.68 g,10.5 g,4.55 g,55.17 g
2919,"Nuts, with salt added, dry roasted, almonds",100 g,598,268.00 mg,20.96 g,21.01 g,10.9 g,4.86 g,52.54 g
2920,"GIRL SCOUTS, Caramel Dulce De Leche Cookies",100 g,520,0,5.10 g,64.80 g,1.3 g,29.60 g,27.10 g
2921,"Babyfood, junior, creamed, corn, vegetables",100 g,65,4.00 mg,1.40 g,16.25 g,2.1 g,1.48 g,0.40 g
2922,"Pumpkin, with salt, drained, boiled, cooked",100 g,18,15.00 mg,0.72 g,4.31 g,1.1 g,2.08 g,0.07 g
2923,"Olives, canned (jumbo-super colossal), ripe",100 g,81,94.00 mg,0.97 g,5.61 g,2.5 g,0.00 g,6.87 g
2924,"KEEBLER, Chocolate Chip Cookies, SOFT BATCH",100 g,477,0,3.60 g,66.20 g,1.7 g,36.90 g,22.10 g
2925,"KEEBLER, Simply Shortbread Cookies, SANDIES",100 g,528,0,6.00 g,62.20 g,1.4 g,22.60 g,28.80 g
2926,"Alcoholic Beverage, Gamay, red, table, wine",100 g,78,0,0.07 g,2.38 g,0,0,0.00 g
2927,"Babyfood, strained, corn and sweet potatoes",100 g,68,18.00 mg,1.26 g,15.23 g,1.8 g,4.00 g,0.28 g
2928,"Okra, without salt, drained, boiled, cooked",100 g,22,77.00 mg,1.87 g,4.51 g,2.5 g,2.40 g,0.21 g
2929,"KEEBLER, Cheese & Cheddar Sandwich Crackers",100 g,502,159.00 mg,8.10 g,59.50 g,1.3 g,13.40 g,25.90 g
2930,"Egg, pasteurized, salted, frozen, raw, yolk",100 g,275,113.00 mg,14.07 g,1.77 g,0.0 g,0.07 g,22.93 g
2931,"Crustaceans, moist heat, cooked, blue, crab",100 g,83,91.00 mg,17.88 g,0.00 g,0.0 g,0.00 g,0.74 g
2932,"CAMPBELL'S CHUNKY, New England Clam Chowder",100 g,81,12.00 mg,2.46 g,9.01 g,1.2 g,0.00 g,3.85 g
2933,"Candies, milk chocolate coated coffee beans",100 g,549,169.00 mg,7.41 g,55.25 g,5.7 g,50.75 g,33.18 g
2934,"Sauce, original, SWEET BABY RAY'S, barbecue",100 g,192,11.00 mg,0.95 g,46.08 g,1.3 g,38.37 g,0.43 g
2935,"POPEYES, analyzed 2006, Mild Chicken Strips",100 g,271,12.00 mg,19.20 g,19.31 g,0.8 g,0.00 g,13.01 g
2936,"Beverages, diet, ready-to-drink, green, tea",100 g,0,1.00 mg,0.00 g,0.00 g,0.0 g,0.93 g,0.00 g
2937,"PEPPERIDGE FARM, Whole Grain 15 Grain Bread",100 g,270,83.00 mg,0.01 g,45.80 g,10.7 g,6.50 g,4.90 g
2938,"Leavening agents, low-sodium, baking powder",100 g,97,4332.00 mg,0.10 g,46.90 g,2.2 g,0.00 g,0.40 g
2939,"Beans, raw, mature seeds, royal red, kidney",100 g,329,131.00 mg,25.33 g,58.33 g,24.9 g,0,0.45 g
2940,"Naranjilla (lulo) pulp, unsweetened, frozen",100 g,25,8.00 mg,0.44 g,5.90 g,1.1 g,3.74 g,0.22 g
2941,"Snacks, plain, uncoated, soft, granola bars",100 g,443,105.00 mg,7.40 g,67.30 g,4.6 g,0,17.20 g
2942,"Beans, raw, mature seeds, cranberry (roman)",100 g,335,127.00 mg,23.03 g,60.05 g,24.7 g,0,1.23 g
2943,"Raspberries, wild (Northern Plains Indians)",100 g,62,36.00 mg,1.12 g,13.85 g,7.5 g,5.54 g,0.28 g
2944,"Beverages, fast-food cola, cola, carbonated",100 g,37,2.00 mg,0.07 g,9.56 g,0.0 g,8.97 g,0.02 g
2945,"Tomato products, with onions, sauce, canned",100 g,42,17.00 mg,1.56 g,9.94 g,1.8 g,0,0.19 g
2946,"Sauce, prepared-from-recipe, sweet and sour",100 g,79,16.00 mg,1.84 g,16.72 g,0.4 g,10.81 g,0.58 g
2947,"LOMA LINDA Little Links, unprepared, canned",100 g,221,19.00 mg,19.40 g,5.50 g,4.2 g,0.80 g,13.50 g
2948,"Salmon, total can contents, canned, sockeye",100 g,153,198.00 mg,20.63 g,0.00 g,0.0 g,0.00 g,7.17 g
2949,"Turnips, with salt, drained, boiled, cooked",100 g,22,22.00 mg,0.71 g,5.06 g,2.0 g,2.99 g,0.08 g
2950,"Tomatoes, drained, packed in oil, sun-dried",100 g,213,47.00 mg,5.06 g,23.33 g,5.8 g,0,14.08 g
2951,"Pie, commercially prepared, chocolate creme",100 g,353,66.00 mg,4.15 g,38.44 g,0.8 g,27.39 g,22.41 g
2952,"Salad dressing, reduced fat, ranch dressing",100 g,196,40.00 mg,1.25 g,21.33 g,1.1 g,3.77 g,12.42 g
2953,"KEEBLER, Cashew Shortbread Cookies, SANDIES",100 g,535,0,6.30 g,59.30 g,1.5 g,23.20 g,30.60 g
2954,KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,100 g,91,141.00 mg,4.70 g,15.10 g,0.0 g,7.20 g,1.30 g
2955,"Babyfood, strained, bananas and rice, plums",100 g,57,3.00 mg,1.10 g,12.70 g,1.3 g,9.30 g,0.30 g
2956,"Wheat flour, unenriched, all-purpose, white",100 g,364,15.00 mg,10.33 g,76.31 g,2.7 g,0.27 g,0.98 g
2957,"KEEBLER, bite-size, Cinnamon Grahams, GRIPZ",100 g,415,400.00 mg,7.40 g,75.60 g,10.4 g,20.50 g,12.90 g
2958,"Restaurant, sweet and sour chicken, Chinese",100 g,250,45.00 mg,10.10 g,23.86 g,1.0 g,11.47 g,12.65 g
2959,"Restaurant, chicken and vegetables, Chinese",100 g,95,20.00 mg,8.18 g,5.38 g,0.9 g,2.93 g,4.56 g
2960,"Margarine-like spread, BENECOL Light Spread",100 g,357,4.00 mg,0.00 g,5.71 g,0,0,38.71 g
2961,"HEALTHY REQUEST, condensed, Minestrone Soup",100 g,63,32.00 mg,2.38 g,11.90 g,2.4 g,3.17 g,0.40 g
2962,"Peas and onions, solids and liquids, canned",100 g,51,17.00 mg,3.28 g,8.57 g,2.3 g,0,0.38 g
2963,"Babyfood, strained, mixed vegetable, dinner",100 g,41,22.00 mg,1.20 g,9.50 g,0,0,0.10 g
2964,"WENDY'S, single, DAVE'S Hot 'N Juicy 1/4 LB",100 g,268,73.00 mg,13.69 g,17.73 g,1.1 g,4.50 g,15.80 g
2965,"Babyfood, strained, banana pudding, dessert",100 g,68,11.00 mg,1.00 g,14.14 g,0.8 g,10.55 g,0.80 g
2966,"Fish, raw, mixed species, fresh water, bass",100 g,114,80.00 mg,18.86 g,0.00 g,0.0 g,0,3.69 g
2967,"Cookies, baked, refrigerated dough, oatmeal",100 g,471,35.00 mg,6.00 g,65.70 g,2.8 g,0,21.00 g
2968,"CRACKER BARREL, farm raised catfish platter",100 g,266,43.00 mg,22.94 g,5.31 g,1.6 g,0,17.05 g
2969,"Rice, cooked, enriched, medium-grain, white",100 g,130,3.00 mg,2.38 g,28.59 g,0.3 g,0,0.21 g
2970,"Beverages, diet, lemon, ready-to-drink, tea",100 g,2,0.00 mg,0.00 g,0.41 g,0.0 g,0.00 g,0.00 g
2971,"Nuts, with salt added, plain, almond butter",100 g,614,347.00 mg,20.96 g,18.82 g,10.3 g,6.27 g,55.50 g
2972,"Candies, MARS Almond Bar, MARS SNACKFOOD US",100 g,467,168.00 mg,8.10 g,62.70 g,2.0 g,52.10 g,23.00 g
2973,"Waffles, ready-to-heat, frozen, gluten-free",100 g,263,40.00 mg,2.72 g,43.05 g,1.4 g,1.73 g,8.84 g
2974,"Cookies, refrigerated dough, chocolate chip",100 g,451,14.00 mg,3.98 g,61.02 g,1.5 g,38.04 g,21.33 g
2975,"Beverages, Peach Mango, V8 SPLASH Smoothies",100 g,37,41.00 mg,1.22 g,7.76 g,0.0 g,7.35 g,0.00 g
2976,"Sweeteners, powder, dry, fructose, tabletop",100 g,368,0.00 mg,0.00 g,100.00 g,0.0 g,92.70 g,0.00 g
2977,"Balsam-pear (bitter gourd), raw, leafy tips",100 g,30,84.00 mg,5.30 g,3.29 g,0,0,0.69 g
2978,"Sausage, pork and beef, smoked link sausage",100 g,320,12.00 mg,12.00 g,2.42 g,0.0 g,0.00 g,28.73 g
2979,"Babyfood, mango with tapioca, fruit dessert",100 g,70,8.00 mg,0.30 g,19.00 g,1.1 g,13.00 g,0.20 g
2980,"Candies, M&M MARS Pretzel Chocolate Candies",100 g,447,50.00 mg,5.00 g,72.94 g,2.5 g,50.00 g,15.00 g
2981,"Chicken, stewed, cooked, meat only, stewing",100 g,237,13.00 mg,30.42 g,0.00 g,0.0 g,0.00 g,11.89 g
2982,"Chicken, simmered, cooked, giblets, stewing",100 g,194,13.00 mg,25.73 g,0.11 g,0.0 g,0,9.30 g
2983,"McDONALD'S, BIG MAC (without Big Mac Sauce)",100 g,234,124.00 mg,12.79 g,21.01 g,1.7 g,3.70 g,11.57 g
2984,"MURRAY, Butter Cookies, COOKIE JAR CLASSICS",100 g,463,0,7.20 g,74.30 g,1.9 g,22.30 g,15.70 g
2985,"KELLOGG'S, Homestyle, Waffles, EGGO Protein",100 g,281,357.00 mg,10.80 g,37.00 g,1.2 g,2.70 g,10.20 g
2986,"Babyfood, strained, green beans, vegetables",100 g,27,39.00 mg,1.20 g,6.29 g,2.2 g,1.88 g,0.17 g
2987,"Alcoholic Beverage, Syrah, red, table, wine",100 g,83,0,0.07 g,2.58 g,0,0,0.00 g
2988,"Snacks, sesame seed, brown rice, rice cakes",100 g,392,12.00 mg,7.60 g,81.50 g,5.4 g,0,3.80 g
2989,"Spinach, with salt, drained, boiled, cooked",100 g,23,136.00 mg,2.97 g,3.75 g,2.4 g,0.43 g,0.26 g
2990,"Salsify, with salt, drained, boiled, cooked",100 g,68,47.00 mg,2.73 g,15.36 g,3.1 g,2.90 g,0.17 g
2991,"Fireweed, raw (Alaska Native), young leaves",100 g,44,13.00 mg,3.00 g,6.30 g,6.0 g,0,0.80 g
2992,"Sauce, ready to serve, mild, red, enchilada",100 g,30,7.00 mg,0.62 g,4.87 g,0.5 g,1.83 g,0.91 g
2993,"Mayonnaise, low calorie or diet, low sodium",100 g,231,0.00 mg,0.30 g,16.00 g,0.0 g,4.20 g,19.20 g
2994,"Pasta, without added salt, enriched, cooked",100 g,158,7.00 mg,5.80 g,30.86 g,1.8 g,0.56 g,0.93 g
2995,"Candies, not chocolate covered, coconut bar",100 g,481,43.00 mg,2.13 g,55.87 g,6.4 g,36.16 g,27.65 g
2996,"Whale, raw (Alaska Native), flipper, beluga",100 g,271,11.00 mg,19.00 g,0.00 g,0.0 g,0.00 g,21.70 g
2997,"Beverages, unsweetened, lemon, instant, tea",100 g,345,28.00 mg,7.40 g,78.52 g,5.0 g,4.52 g,0.18 g
2998,"FAMOUS AMOS, Vanilla Sandwich Creme Cookies",100 g,485,0,4.90 g,73.80 g,1.3 g,37.20 g,19.30 g
2999,"Cheese, low fat, swiss, pasteurized process",100 g,165,684.00 mg,25.50 g,4.30 g,0.0 g,1.35 g,5.10 g
3000,"Candies, dark chocolate coated coffee beans",100 g,540,100.00 mg,7.50 g,59.95 g,7.5 g,42.50 g,30.00 g
3001,"Rolls, reduced-calorie, hamburger or hotdog",100 g,196,59.00 mg,8.30 g,42.10 g,6.2 g,4.76 g,2.00 g
3002,"Beans, raw, mature seeds, all types, kidney",100 g,333,143.00 mg,23.58 g,60.01 g,24.9 g,2.23 g,0.83 g
3003,"Beans, canned, mature seeds, great northern",100 g,114,53.00 mg,7.37 g,21.02 g,4.9 g,1.41 g,0.39 g
3004,"Vitasoy USA, Organic Nasoya Extra Firm Tofu",100 g,98,77.00 mg,10.10 g,2.60 g,1.3 g,0.40 g,5.20 g
3005,"Yokan, prepared from adzuki beans and sugar",100 g,260,27.00 mg,3.29 g,60.72 g,0,0,0.12 g
3006,"Cheese, part-skim, low moisture, mozzarella",100 g,295,697.00 mg,23.75 g,5.58 g,0.0 g,1.90 g,19.78 g
3007,"Nuts, with salt added, plain, cashew butter",100 g,609,61.00 mg,12.12 g,30.30 g,3.0 g,9.09 g,53.03 g
3008,"LITTLE CAESARS 14"" Cheese Pizza, Thin Crust",100 g,309,422.00 mg,16.23 g,22.85 g,1.6 g,2.76 g,16.99 g
3009,"GLUTINO, Vanilla Creme, Gluten Free Cookies",100 g,487,0,2.19 g,77.34 g,0.0 g,49.43 g,18.79 g
3010,"GLUTINO, Milk Chocolate, Gluten Free Wafers",100 g,541,109.00 mg,4.06 g,62.82 g,1.6 g,40.99 g,30.42 g
3011,"Shortening, composite, household, vegetable",100 g,884,1.00 mg,0.00 g,0.00 g,0.0 g,0.00 g,99.97 g
3012,"KELLOGG'S, Buttermilk, Pancakes, EGGO Minis",100 g,251,36.00 mg,5.50 g,39.60 g,1.0 g,10.30 g,8.20 g
3013,"Peanuts, without salt, oil-roasted, spanish",100 g,579,100.00 mg,28.01 g,17.45 g,8.9 g,0,49.04 g
3014,"Cardoon, with salt, drained, boiled, cooked",100 g,20,72.00 mg,0.76 g,4.74 g,1.7 g,0,0.11 g
3015,"Carrots, with salt, drained, boiled, cooked",100 g,35,30.00 mg,0.76 g,8.22 g,3.0 g,3.45 g,0.18 g
3016,"Cereals ready-to-eat, RALSTON Corn Biscuits",100 g,367,378.00 mg,5.83 g,85.79 g,2.6 g,9.51 g,1.05 g
3017,"Gravy, slow roast, chicken, FRANCO-AMERICAN",100 g,34,0,1.69 g,5.08 g,0,0,0.85 g
3018,"Hazelnuts, beaked (Northern Plains Indians)",100 g,628,441.00 mg,14.89 g,22.98 g,9.8 g,0,52.99 g
3019,"KELLOGG'S, Savory Herb Crackers, SPECIAL K",100 g,406,0,10.90 g,73.80 g,9.8 g,10.60 g,10.00 g
3020,"Salad dressing, fat-free, italian dressing",100 g,47,30.00 mg,0.97 g,8.75 g,0.6 g,8.85 g,0.87 g
3021,"WORTHINGTON Diced Chik, unprepared, canned",100 g,80,55.00 mg,14.70 g,3.70 g,1.4 g,0.10 g,0.70 g
3022,"Fish, drained solids, canned, pink, salmon",100 g,138,283.00 mg,23.10 g,0.00 g,0.0 g,0.00 g,5.02 g
3023,"Cereals ready-to-eat, FRUITY PEBBLES, POST",100 g,402,19.00 mg,4.62 g,86.10 g,0.8 g,34.28 g,4.02 g
3024,"Nuts, with salt added, dry roasted, pecans",100 g,710,72.00 mg,9.50 g,13.55 g,9.4 g,4.06 g,74.27 g
3025,"Cereals ready-to-eat, KING VITAMAN, QUAKER",100 g,381,10.00 mg,6.41 g,83.85 g,3.4 g,20.27 g,3.44 g
3026,"Turkey, raw, meat only, wing, retail parts",100 g,112,6.00 mg,22.48 g,0.00 g,0.0 g,0.00 g,2.49 g
3027,"Vitasoy USA Organic Nasoya, Tofu Plus Firm",100 g,74,237.00 mg,9.19 g,1.71 g,0.8 g,0.30 g,3.40 g
3028,"Taro leaves, without salt, steamed, cooked",100 g,24,86.00 mg,2.72 g,4.02 g,2.0 g,0,0.41 g
3029,"Wheat flour, enriched, tortilla mix, white",100 g,405,205.00 mg,9.66 g,67.14 g,0,0,10.63 g
3030,"Ice cream, chocolate covered, bar or stick",100 g,331,119.00 mg,4.10 g,24.50 g,0.8 g,18.30 g,24.10 g
3031,"Babyfood, banana juice with low fat yogurt",100 g,89,79.00 mg,2.50 g,17.54 g,0.4 g,13.28 g,0.80 g
3032,"Fish, dry heat, cooked, wild, coho, salmon",100 g,139,45.00 mg,23.45 g,0.00 g,0.0 g,0.00 g,4.30 g
3033,"Broadbeans (fava beans), raw, mature seeds",100 g,341,103.00 mg,26.12 g,58.29 g,25.0 g,5.70 g,1.53 g
3034,"KEEBLER, Vienna Fingers with Creme Filling",100 g,492,0,4.50 g,73.20 g,1.5 g,33.60 g,20.10 g
3035,"KEEBLER, Iced Lemonade Cookies, TRADITIONS",100 g,502,0,4.50 g,66.30 g,1.0 g,29.90 g,24.40 g
3036,"Chicken, reheated, breaded, frozen, thighs",100 g,334,75.00 mg,18.66 g,14.23 g,0.1 g,0.00 g,22.45 g
3037,"Borage, with salt, drained, boiled, cooked",100 g,25,102.00 mg,2.09 g,3.55 g,0,0,0.81 g
3038,"Peanuts, with salt, oil-roasted, all types",100 g,599,61.00 mg,28.03 g,15.26 g,9.4 g,4.18 g,52.50 g
3039,"Nuts, with salt added, oil roasted, pecans",100 g,715,67.00 mg,9.20 g,13.01 g,9.5 g,3.97 g,75.23 g
3040,"Fish, dry heat, cooked, Atlantic, wolffish",100 g,123,8.00 mg,22.44 g,0.00 g,0.0 g,0,3.06 g
3041,"Fish, dry heat, cooked, greenland, halibut",100 g,239,4.00 mg,18.42 g,0.00 g,0.0 g,0,17.74 g
3042,"Beef, raw, 90% lean meat / 10% fat, ground",100 g,176,12.00 mg,20.00 g,0.00 g,0.0 g,0.00 g,10.00 g
3043,"Beef, raw, 85% lean meat / 15% fat, ground",100 g,215,15.00 mg,18.59 g,0.00 g,0.0 g,0.00 g,15.00 g
3044,"Beans, solids and liquids, canned, shellie",100 g,30,29.00 mg,1.76 g,6.19 g,3.4 g,0.63 g,0.19 g
3045,"Babyfood, strained, chicken noodle, dinner",100 g,66,27.00 mg,2.69 g,9.08 g,2.1 g,2.50 g,2.06 g
3046,"Cookies, chocolate-coated, graham crackers",100 g,500,46.00 mg,4.00 g,66.78 g,2.2 g,37.30 g,25.80 g
3047,"Deer (venison), raw (Alaska Native), sitka",100 g,116,7.00 mg,21.50 g,0.00 g,0,0,2.66 g
3048,"Crackers, without salt, plain, melba toast",100 g,390,93.00 mg,12.10 g,76.60 g,6.3 g,0,3.20 g
3049,"Nuts, lightly salted, oil roasted, almonds",100 g,607,291.00 mg,21.23 g,17.68 g,10.5 g,4.55 g,55.17 g
3050,"Fish, dry heat, cooked, mixed species, roe",100 g,204,28.00 mg,28.62 g,1.92 g,0.0 g,0,8.23 g
3051,"Babyfood, with calcium, fruit punch, juice",100 g,52,64.00 mg,0.20 g,12.70 g,0.4 g,10.60 g,0.10 g
3052,"McDONALD'S, Southern Style Chicken Biscuit",100 g,304,44.00 mg,11.93 g,30.56 g,1.4 g,2.62 g,14.93 g
3053,"KEEBLER, Shortbread Pie Crust, READY CRUST",100 g,502,0,4.40 g,69.10 g,1.3 g,26.60 g,23.10 g
3054,"Babyfood, strained, green beans and turkey",100 g,51,31.00 mg,4.10 g,5.35 g,1.4 g,1.39 g,1.50 g
3055,"Babyfood, instant, dry, brown rice, cereal",100 g,406,55.00 mg,8.70 g,85.98 g,6.5 g,0.72 g,3.00 g
3056,"Rice, unenriched, raw, medium-grain, white",100 g,360,9.00 mg,6.61 g,79.34 g,0,0,0.58 g
3057,"Pasta, cooked, spinach, fresh-refrigerated",100 g,130,18.00 mg,5.06 g,25.04 g,0,0,0.94 g
3058,"Restaurant, general tso's chicken, Chinese",100 g,295,12.00 mg,12.90 g,23.99 g,0.9 g,11.60 g,16.36 g
3059,"Chicken, raw, meat only, cornish game hens",100 g,116,12.00 mg,20.04 g,0.00 g,0.0 g,0.00 g,3.33 g
3060,"WENDY'S, Homestyle Chicken Fillet Sandwich",100 g,214,23.00 mg,13.78 g,21.55 g,1.3 g,0,8.10 g
3061,"Nuts, coconut water (liquid from coconuts)",100 g,19,24.00 mg,0.72 g,3.71 g,1.1 g,2.61 g,0.20 g
3062,"Soup, prepared with water, mix, dry, onion",100 g,12,9.00 mg,0.32 g,2.77 g,0.3 g,0.20 g,0.01 g
3063,"Babyfood, strained, peach cobbler, dessert",100 g,65,4.00 mg,0.30 g,17.80 g,0.7 g,10.62 g,0.00 g
3064,"Bread, toasted, (includes gluten), protein",100 g,270,136.00 mg,13.20 g,48.10 g,3.3 g,1.44 g,2.40 g
